key,en
baking_pose_bounds_progress,Baking the pose bounds...
building_mesh_progress,Building the mesh...
cannot_import_overwrite,Cannot import '{0}': it would overwrite files already in the project.
compressing_textures_progress,Compressing textures ({0} of {1})...
convolving_progress,Convolving {0}...
failed_import,"Failed to import '{0}':

{1}"
import_asset_title,Import Asset
import_environment_title,Import Environment
import_title,Import {0}
importing_progress_title,Importing {0}
overwrite_informative,"Import never overwrites. Remove the listed files, or choose a different folder, then import again."
parsing_progress,Parsing {0}...
