key,en
baking_material,Baking material...
baking_material_file,Baking material {0}
checking,Checking...
checking_file,Checking {0}
could_not_open_project,Could not open {0}: {1}
extracting_textures,Extracting textures...
extracting_textures_file,Extracting textures {0}
new_project_button,New Project...
new_project_title,New Project
no_recent_projects,No recent projects.
open_button,Open
open_project_button,Open Project...
open_project_title,Open Project
rebuilding,Rebuilding...
rebuilding_file,Rebuilding {0}
recent_project_item,"{0}
{1}"
recent_projects,Recent Projects
starting,Starting...
updating,Updating...
updating_file,Updating {0}
working,Working on...
working_file,Working on {0}
